,lon,lat
0,5.951133333333333,43.080016666666666
1,5.950799165440492,43.08025177138651
2,5.950494817587834,43.0805058347087
3,5.950179077748018,43.080762065972486
4,5.94985450122127,43.0810172359483
5,5.949524146830486,43.08126863961407
6,5.949190071157593,43.0815145475571
7,5.948852466696085,43.081754440735835
8,5.948511595044464,43.081987996272865
9,5.948168419376036,43.08221490735368
10,5.947823490135119,43.08243533258063
11,5.947476950037635,43.0826500819168
12,5.947059665596584,43.08294189483945
13,5.946718535913351,43.08314614305931
14,5.946384220857827,43.08334308040653
15,5.94606023153302,43.08352887837474
16,5.945751381828586,43.08369818007652
17,5.945463500222172,43.083845335719076
18,5.945201209644913,43.08396646929477
19,5.944965675713835,43.084061220494156
20,5.944755232678371,43.084131916285564
21,5.944566761783349,43.08418213297011
22,5.944396749420447,43.0842156826587
23,5.944241884705999,43.08423608596797
24,5.943856557796834,43.08449779228085
25,5.94375369372985,43.084483241749886
26,5.943655055872921,43.08446537368055
27,5.943559973882345,43.08444477352131
28,5.943467897874657,43.08442192354366
29,5.943378375617217,43.08439722855433
30,5.94329103526277,43.084371035135895
31,5.943205572048546,43.084343646188806
32,5.9431217383671635,43.08431533201416
33,5.9430393500735725,43.08428633913354
34,5.94295829403322,43.08425689574773
35,5.942878520040418,43.08422721422359
36,5.942583161566497,43.084393326990806
37,5.9425141016163066,43.08436007991672
38,5.942445413669216,43.08432744946012
39,5.942377271888338,43.084295537341774
