,lon,lat
0,5.9849499999999995,43.08016666666666
1,5.984869644608398,43.080346418344355
2,5.98481675722879,43.08051321229718
3,5.984765849310522,43.08068043947554
4,5.9847168808150935,43.08084810086254
5,5.984669806103967,43.081016202245564
6,5.98462457294123,43.08118475630184
7,5.984581121196875,43.08135378363863
8,5.984539381490005,43.08152331387999
9,5.984499273884247,43.081693386621936
10,5.984460708425604,43.08186404992015
11,5.984405315928275,43.08212456104391
12,5.984370191688102,43.08229695788303
13,5.984336260422867,43.08247014385833
14,5.984303425311941,43.082644172655776
15,5.984271596626077,43.082819089160225
16,5.984240692084271,43.082994929370884
17,5.984210636110923,43.08317172221681
18,5.984181359268597,43.08334949144552
19,5.984152797698586,43.083528257701566
20,5.984124890723791,43.08370804202093
21,5.984097578354655,43.08388886794289
22,5.984070799971984,43.084070761971994
23,5.984027253765131,43.084395397847324
24,5.984001577157043,43.08458042192051
25,5.983976192587524,43.08476664324625
26,5.9839510401611005,43.08495410175512
27,5.983926065172274,43.0851428388316
28,5.983901219237779,43.08533289681744
29,5.983876460964384,43.08552431016411
30,5.983851756376444,43.08571709137566
31,5.983827080084623,43.0859112280105
32,5.983802416628674,43.08610668070256
33,5.983777762378897,43.08630338155243
34,5.9837531353084765,43.086501238893085
35,5.9837351806051755,43.0868445341359
36,5.9837105775058,43.08704500314674
37,5.983686315378659,43.087246148052124
38,5.983662515298262,43.08744786344807
39,5.983639281576328,43.08765012344305
40,5.983616699609755,43.08785298250916
41,5.983594834465954,43.08805657550674
42,5.983573724366264,43.08826108915618
43,5.983553362566253,43.08846666630771
44,5.9835336943878445,43.08867338514031
45,5.983514617782073,43.08888125739402
46,5.983495985980171,43.0890902279411
47,5.983458378028524,43.08945094735929
48,5.983440330482949,43.08966233965632
49,5.983422254992688,43.089874376283525
50,5.983404075499212,43.090086896546595
